participant_id,condition,channel_set,epoch_index,alpha_power_8_12,n_channels
sub-020,EyesClosed,oz,5,-11.882160437122455,1
sub-020,EyesOpen,oz,0,-11.694081644591469,1
sub-020,EyesOpen,oz,1,-11.707325830746369,1
sub-020,EyesOpen,oz,2,-11.566372096437608,1
sub-020,EyesOpen,oz,3,-11.65758064530812,1
sub-020,EyesOpen,oz,4,-11.731577466959115,1
sub-020,EyesOpen,oz,5,-11.711715347942278,1
sub-021,EyesClosed,oz,0,-10.109120842997486,1
sub-021,EyesClosed,oz,1,-10.57039154452901,1
sub-021,EyesClosed,oz,2,-10.615205420403049,1
sub-021,EyesClosed,oz,3,-10.629756124147395,1
sub-021,EyesClosed,oz,4,-10.728866144556878,1
sub-021,EyesClosed,oz,5,-10.701091925161846,1
sub-021,EyesOpen,oz,0,-11.064062023697174,1
sub-021,EyesOpen,oz,1,-11.17951983095069,1
sub-021,EyesOpen,oz,2,-11.134758333222985,1
sub-021,EyesOpen,oz,3,-11.235811786423039,1
sub-021,EyesOpen,oz,4,-11.281640077846422,1
sub-021,EyesOpen,oz,5,-10.903882198807974,1
sub-022,EyesClosed,oz,0,-10.568161756165136,1
sub-022,EyesClosed,oz,1,-10.432207028166088,1
sub-022,EyesClosed,oz,2,-10.337492409934953,1
sub-022,EyesClosed,oz,3,-10.756203237597926,1
sub-022,EyesClosed,oz,4,-10.356534735503757,1
sub-022,EyesClosed,oz,5,-10.439107814039119,1
sub-022,EyesOpen,oz,0,-11.473345527480705,1
sub-022,EyesOpen,oz,1,-11.299745631701354,1
sub-022,EyesOpen,oz,2,-11.189752400437998,1
sub-022,EyesOpen,oz,3,-11.393841424127753,1
sub-022,EyesOpen,oz,4,-11.201442387402883,1
sub-022,EyesOpen,oz,5,-11.317803761767482,1
sub-023,EyesClosed,oz,0,-10.904141833945278,1
sub-023,EyesClosed,oz,1,-10.976096099912636,1
sub-023,EyesClosed,oz,2,-10.981170224224773,1
sub-023,EyesClosed,oz,3,-10.874398517519571,1
sub-023,EyesClosed,oz,4,-10.795619941409957,1
sub-023,EyesClosed,oz,5,-10.912786182738428,1
sub-023,EyesOpen,oz,0,-11.421739148814417,1
sub-023,EyesOpen,oz,1,-11.377314168932735,1
sub-023,EyesOpen,oz,2,-11.532235207996361,1
sub-023,EyesOpen,oz,3,-11.486556995012842,1
sub-023,EyesOpen,oz,4,-11.435238602157268,1
sub-023,EyesOpen,oz,5,-11.37155806225522,1
sub-024,EyesClosed,oz,0,-10.954709651487498,1
sub-024,EyesClosed,oz,1,-11.035526990455192,1
sub-024,EyesClosed,oz,2,-10.989261949323813,1
sub-024,EyesClosed,oz,3,-10.875734138541247,1
sub-024,EyesClosed,oz,4,-10.931491770018669,1
sub-024,EyesClosed,oz,5,-10.858042244133108,1
sub-024,EyesOpen,oz,0,-11.760333569347809,1
sub-024,EyesOpen,oz,1,-11.662369838609722,1
sub-024,EyesOpen,oz,2,-11.699590377288565,1
sub-024,EyesOpen,oz,3,-11.426306674608332,1
sub-024,EyesOpen,oz,4,-11.4735631176352,1
sub-024,EyesOpen,oz,5,-11.63106487008032,1
sub-025,EyesClosed,oz,0,-10.202860761804995,1
sub-025,EyesClosed,oz,1,-10.180389765639111,1
sub-025,EyesClosed,oz,2,-10.226642937824979,1
sub-025,EyesClosed,oz,3,-10.182933414772275,1
sub-025,EyesClosed,oz,4,-10.16702658485848,1
sub-025,EyesClosed,oz,5,-10.298644541307862,1
sub-025,EyesOpen,oz,0,-11.338450603214604,1
sub-025,EyesOpen,oz,1,-11.227367789400875,1
sub-025,EyesOpen,oz,2,-11.230612357198526,1
sub-025,EyesOpen,oz,3,-10.919901630237465,1
sub-025,EyesOpen,oz,4,-11.20459850839266,1
sub-025,EyesOpen,oz,5,-11.242669890019991,1
sub-026,EyesClosed,oz,0,-11.014207537145795,1
sub-026,EyesClosed,oz,1,-10.767779966749599,1
